"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"45",2.038179356,0.854588337571,0.313175808,2.98401269575,0.825269725765,0.12687321688,0.536551026725,0.0828641715076,0.79792905952,1.4843138225,0.451240294627,0.012031036952,2.91142924975,0.306418162249,0.2667399268,2.686755374,0.1028089394551,0.12936993856,1,0.956252427159718,NA,NA,0.0466887402230813,NA,NA,0.0466887402230813,0.120310725583591,0,13192.2132952802,0.0001014761471,65481090.2533626,1e-04,1,0.0955390930175781,202.689363956451,"1_176_4",1,176,4,1929,TRUE,TRUE,2,0.0405187421886899,3,FALSE
"46",2.20536804475,0.79417710514,0.32557864304,2.68640931675,0.775830559681,0.23241084968,0.5417155631,0.133113506131,0.75501502696,1.9140299565,0.435807047314,0.08016512,2.6116379165,0.578101296268,0.029568566192,2.5654794425,0.111570156028,0.09741891048,1,0.956072509860851,NA,NA,0.0467846483223544,NA,NA,0.0467846483223544,0.122660919430074,0,23122.7574125148,0.0002531464573,65481090.2533626,1e-04,1,0.0869870185852051,203.645117044449,"1_177_2",1,177,2,1938,FALSE,TRUE,3,0.0413902928932013,3,FALSE
"47",2.137950886,0.672850467235,0.21294666448,2.922233713,0.781361617312,0.28435745008,0.5615690413,0.153456700915,0.78090551296,2.13435048675,0.424206964666,0.102346452,2.1653429195,0.286966044487,0.135696402,2.701225884,0.114974908687,0.10560709248,1,0.956347770012997,NA,NA,0.0466378360766727,NA,NA,0.0466378360766727,0.142992522211703,0,15447.0959234949,0.0001359152215,65481090.2533626,1e-04,1,0.112241983413696,203.950553894043,"1_177_5",1,177,5,1941,TRUE,TRUE,3,0.0489001282668887,3,FALSE
"48",1.99269764075,0.686421688393,0.25745615528,2.87506883375,0.780255405766,0.23241084968,0.5417155631,0.133113506131,0.78418967632,1.93930774375,0.461436428476,0.055586258768,2.68402929075,0.578101296268,0.029568566192,1.84375917225,0.147749361805,0.10029969176,1,0.953862307498822,NA,NA,0.0481006158044584,NA,NA,0.0481006158044584,0.0422535201323121,0,30850.2157528979,0.0003711687922,65481090.2533626,1e-04,1,0.0838170051574707,206.580442905426,"1_179_10",1,179,10,1968,FALSE,TRUE,3,0.0121027538950324,3,FALSE
"49",2.137950886,0.672850467235,0.21294666448,2.922233713,0.781361617312,0.75112524896,0.57102378415,0.13264500853,0.77300156536,2.97675846225,0.388735784218,0.102346452,2.1653429195,0.286966044487,0.135696402,2.701225884,0.114974908687,0.10560709248,1,0.954717541099493,NA,NA,0.0476527207761803,NA,NA,0.0476527207761803,0.0469396516770648,0,15447.0959234949,0.0001359152215,65481090.2533626,1e-04,1,0.0775530338287354,206.912725925446,"1_180_2",1,180,2,1971,FALSE,TRUE,1,0.0136090300474858,3,FALSE
"50",2.34986874875,0.570700786096,0.14289903504,2.79832263975,0.854396719111,0.18880201608,0.5166188545975,0.116157301228,0.78108300304,1.69840766475,0.43917464557,0.021429754976,2.27170559925,0.40240751869,0.14959014264,2.241934673,0.135641702692,0.089013052,1,0.956049228998414,NA,NA,0.0467970442352974,NA,NA,0.0467970442352974,0.113250240132854,0,7759.64785537074,1.850396796e-05,65481090.2533626,1e-04,1,0.0989699363708496,208.500195026398,"1_181_7",1,181,7,1987,TRUE,TRUE,3,0.0379132509327901,3,FALSE
"51",1.9067282995,0.603066856987,0.25563805016,1.90858446475,0.733389529555,0.35015897168,0.579039270225,0.199041816799,0.77875798576,1.63112224325,0.4307890357,0.034746256504,2.70455317925,0.333050303422,0.28073179896,2.72542347525,0.1085755057012,0.10865808824,1,0.956165308697103,NA,NA,0.0468847578764383,NA,NA,0.0468847578764383,0.0861450596595503,0,8605.34259445657,3.142035823e-05,65481090.2533626,1e-04,1,0.0805091857910156,208.591763973236,"1_181_8",1,181,8,1988,FALSE,TRUE,1,0.0279034199219315,3,FALSE
"52",1.8370686885,0.947233800613,0.42602474408,2.979058604,0.827151989203,0.3313573956,0.562732264675,0.131009037688,0.78206660624,1.62252838075,0.461436428476,0.055586258768,2.68402929075,0.423173181619,0.1919882084,2.66250018775,0.1045611827776,0.12297973288,1,0.956314006084082,NA,NA,0.0466558692012897,NA,NA,0.0466558692012897,0.114704781530329,0,15178.3221161081,0.0001318102091,65481090.2533626,1e-04,1,0.127923011779785,209.602968931198,"1_182_7",1,182,7,1998,FALSE,TRUE,1,0.0384460950628422,3,FALSE
"53",2.137950886,0.672850467235,0.21294666448,2.922233713,0.781361617312,0.79268252928,0.5869065667,0.13264500853,0.77300156536,2.97675846225,0.388735784218,0.102346452,2.1653429195,0.286966044487,0.135696402,2.701225884,0.114974908687,0.10560709248,1,0.954500665583462,NA,NA,0.0477666982848777,NA,NA,0.0477666982848777,0.0490189582810838,0,15447.0959234949,0.0001359152215,65481090.2533626,1e-04,1,0.0753269195556641,209.870063066483,"1_182_10",1,182,10,2001,FALSE,TRUE,2,0.0144029558682616,3,FALSE
"54",2.70051770625,0.428213754343,0.27504432672,2.22643557475,0.586838394649,0.45715721928,0.550596063275,0.0601137801406,0.73910995976,2.95690638025,0.962023432492,0.5980966988,2.773665813,0.45384376762,0.3280296632,1.96292808675,0.705146520772,0.65466340144,1,0.942397525031064,NA,NA,0.0537456442637167,NA,NA,0.0537456442637167,0.0131688989733283,0,34688.2590605089,0.0004297876566,65481090.2533626,1e-04,1,0.0721559524536133,153.957495927811,"2_120_3",2,120,3,1312,FALSE,TRUE,2,0.0137285893033638,4,FALSE
