"","solID","mape","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"1","1_73_4",0,0.0133448589133403,0.0583643594310301,0.0583643594310301,0.461185393252606,0.52579504063903,0.281435575157164,0.473895820828518,0.450649171044792,0.678770257141732,0.943355377802921,0.815946842391615,0.133441250706192,0.402642223533546,0.934962825911306,0.313955460889129,0.731800083205478,0.43067449949312,0.00911477857704721,0.0994662819741439,0.786317937021442,0.271096898969503,4,54,FALSE
"2","1_89_7",0,0.0144525877467577,0.0579017430218701,0.0579017430218701,0.344245082236306,0.40951868460934,0.809174644874129,0.0235080875023694,0.448938165193763,0.639839963937052,0.930857125469585,0.919001163259978,0.181401715594481,0.402564453236285,0.985700277250595,0.321399291915747,0.620934265230986,0.418346467380558,0.0778259687777734,0.0934314770941235,0.805100264881925,0.269885882435485,4,54,FALSE
"3","1_92_4",0,0.0163298889980814,0.0578016355920526,0.0578016355920526,0.344245082236306,0.40951868460934,0.477022336045571,0.0235080875023694,0.448938165193763,0.639839963937052,0.930857125469585,0.919001163259978,0.284791253527865,0.504934999882931,0.985700277250595,0.389762296500693,0.620934265230986,0.418346467380558,0.11715750367578,0.0934314770941235,0.805100264881925,0.269885882435485,4,54,FALSE
"4","1_98_4",0,0.0136974053835982,0.0559995357629148,0.0559995357629148,0.087511143660949,0.552399291814124,0,0.247592063017985,0.892139047510452,0.349544459816713,0.67117959964061,0.661786442190586,0.117389088446559,0.458808815777782,0.722248130851669,0.164109320978659,0.67135230395458,0.403775607403506,0,0.0702050110464957,0.656249100096005,0.151254479858969,4,54,FALSE
"5","1_126_8",0,0.197076606557685,0.0466352204496299,0.0466352204496299,0.247213493673714,0.387322801443237,0.82165635850567,0.195734414555177,0.173364547065069,0.16131443168889,0.611545726426864,0.839047498714251,0.610948596424353,0.515271095357955,0.535096727614666,0.984367229104393,0.620359627190333,0.365344509639293,0.230488570087228,0.0529285136693413,0,0.068310551030069,3,44,FALSE
"6","1_127_8",0,0.0602110526899047,0.0475373858103931,0.0475373858103931,0.68175050425638,0.570954221254361,0.937941154558421,0.18925466849815,0.269610405903905,0.138098817678747,0.789040550398088,0.66552215641877,0.80493735444603,0.496297147428354,0.592491802845771,1,0.926447871835629,0.363435439719861,0.204765438121737,0.0516906399518709,0.0925729404725949,0.074589242823995,3,44,FALSE
"7","1_129_11",0,0.0561722115402583,0.0477410357937914,0.0477410357937914,0.373854164074909,0.254779897216296,0.726880363611968,0.0900519998118642,0.245680124010883,0.19031551986905,0.558312067171596,0.902958216859464,0.42707198305529,0.491165559637914,0.715820216325363,0.793165945169777,0.83474597541527,0.534193621140411,0.230774888803289,0.062360169484854,0.336376409385942,0.102138303385945,3,44,FALSE
"8","1_132_8",0,0.0657899717448206,0.0474264622242234,0.0474264622242234,0.373854164074909,0.254779897216296,0.726880363611968,0.00787476004690857,0.145542825762575,0.216989740651138,0.558312067171596,0.902958216859464,0.42707198305529,0.491165559637914,0.891182097685494,0.956891104703324,0.83474597541527,0.534193621140411,0.230774888803289,0.0929190172450652,0.358261712128444,0.0736546784571602,3,44,FALSE
"9","1_138_2",0,0.0510010492477521,0.0478141313717935,0.0478141313717935,0.373854164074909,0.11373236022358,0.600368520559274,0.0900519998118642,0.245680124010883,0.19031551986905,0.558312067171596,0.902958216859464,0.0587946424520498,0.258371787579443,0.715820216325363,0.793165945169777,0.83474597541527,0.502430376332426,0.0974345931479561,0.0492421088039521,0.336376409385942,0.102138303385945,3,44,FALSE
"10","1_143_4",0,0.0513080779924321,0.047876639653923,0.047876639653923,0.391590635481456,0.16209721023921,0.923876844661935,0.0989090068680125,0.258616457743287,0.1343141737,0.366985873483523,0.90411387982478,0.392689455397865,0.390054666292774,0.748440898430373,0.873341709017869,0.63626624626568,0.480721644347878,0.172896735537312,0.047933563758017,0.507385893757543,0.106018533848537,3,44,FALSE
